,NO,일반/집합 구분,대지위치,도로명주소,건물명칭,동명칭,세대,호,가구,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률산정용면적(㎡),건폐율(%),용적률(%),주구조,용도,지붕구조,지하층수(층),지상층수(층),높이(ｍ),부속건축물(동),부속건축물(㎡),주차장_자주식_옥내(대),주차장_자주식_옥외(대),주차장_자주식_인근(대),주차장_기계식_옥내(대),주차장_기계식_옥외(대),주차장_기계식_인근(대),주차장면제(대),승용승강기(대),비상용승강기(대),허가일자,착공일자,사용승인일자,에너지효율등급,에너지절감률(%),에너지성능지표(EPI)점수,친환경인증등급,친환경인증점수,지능형인증등급,지능형인증점수,위도,경도,위경도
239,92,일반,서울특별시 중구 소공동 1,서울특별시 중구 을지로 ,롯데호텔 및 백화점,신관동,0,0,0,0,14755.19,118853.24,79115.91,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,7,35,146.8,0,0,0,0,0,0,0,0,0,20,2,1985-09-11,,1989-05-03,,0,0,,0,,0,37.5648228,126.9810887,"(37.5648228,126.9810887)"
240,93,일반,서울특별시 중구 소공동 1,서울특별시 중구 남대문로 ,롯데호텔 및 백화점,부속건물,0,0,0,0,14755.19,88997.42,63952.67,0,0,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,25,105.5,0,0,825,248,0,0,0,0,0,8,2,,,1981-02-10,,0,0,,0,,0,37.5648228,126.9810887,"(37.5648228,126.9810887)"
241,94,일반,서울특별시 중구 소공동 1,서울특별시 중구 남대문로 ,롯데호텔 및 백화점,부속건물,0,0,0,0,14755.19,88997.42,63952.67,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,3,25,105.5,0,0,0,0,0,0,0,0,0,8,2,,,1981-02-10,,0,0,,0,,0,37.5648228,126.9810887,"(37.5648228,126.9810887)"
242,95,집합,서울특별시 중구 소공동 87-3,서울특별시 중구 소공로 ,소공 지하도상가,,0,9,0,0,0,3420.68,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2014-12-01,,0,0,,0,,0,37.5642215,126.979268,"(37.5642215,126.979268)"
243,96,일반,서울특별시 중구 수하동 40-2,서울특별시 중구 남대문로10길 28,,,0,0,0,261.2,256.03,2681.01,2451.26,98.02,938.46,철근콘크리트구조,판매시설,(철근)콘크리트,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,,1969-07-11,,0,0,,0,,0,37.567454,126.9842212,"(37.567454,126.9842212)"
244,97,집합,서울특별시 중구 신당동 193-2,서울특별시 중구 다산로 ,디오트,디오트,1501,0,0,5181.9,3100.34,36325.35,20503.47,59.83,395.67,철근콘크리트구조,판매시설,(철근)콘크리트,5,8,33.24,0,0,145,0,0,0,0,0,0,6,4,2002-12-27,2003-06-01,2006-03-06,,0,0,,0,,0,37.5691585,127.0147835,"(37.5691585,127.0147835)"
245,98,집합,서울특별시 중구 신당동 198-3,서울특별시 중구 마장로 ,에이.피.엠,,1075,0,0,1909,1138.13,14178.6,9228.57,59.62,483.42,철골철근콘크리트구조,판매시설,(철근)콘크리트,4,9,42.8,0,0,65,0,0,0,0,0,0,2,0,1997-07-15,1997-10-28,1999-11-09,,0,0,,0,,0,37.5678717,127.0142991,"(37.5678717,127.0142991)"
246,99,집합,서울특별시 중구 신당동 199-1,서울특별시 중구 을지로45길 ,디자이너크럽,,775,0,0,1934.4,1240.94,8863.74,5831.96,64.1,301.49,철근콘크리트구조,판매시설,(철근)콘크리트,2,5,20.65,0,0,0,1,0,38,0,0,0,3,0,1993-11-10,1993-10-31,1994-08-23,,0,0,,0,,0,37.567451,127.0131453,"(37.567451,127.0131453)"
247,100,집합,서울특별시 중구 신당동 199-17,서울특별시 중구 퇴계로73길 ,에이피엠럭스,에이피엠럭스,0,0,0,1213.5,722.35,6888.49,4660.28,59.53,384.04,철근콘크리트구조,판매시설,(철근)콘크리트,3,8,31.8,0,0,0,1,0,14,0,0,0,2,0,2004-09-03,2005-09-01,2006-09-25,,0,0,,0,,0,37.5674531,127.0134963,"(37.5674531,127.0134963)"
248,101,집합,서울특별시 중구 신당동 200-5,서울특별시 중구 을지로45길 ,누죤빌딩,,1878,0,0,3666,2201.05,42595.9,23179.68,59.99,632.28,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,15,55.24,0,0,318,0,0,0,0,0,0,8,2,1996-06-12,1996-10-04,2000-12-30,,0,0,,0,,0,37.5672125,127.0127812,"(37.5672125,127.0127812)"
249,102,일반,서울특별시 중구 신당동 213,서울특별시 중구 마장로1가길 ,DWP,,0,0,0,1012,592.42,6535.61,5098.68,58.539525,503.82213,철근콘크리트구조,판매시설,(철근)콘크리트,2,9,31.6,0,0,3,0,0,0,0,0,0,3,0,1993-05-18,1993-05-20,1994-10-24,,0,0,,0,,0,37.5690698,127.0136597,"(37.5690698,127.0136597)"
250,103,일반,서울특별시 중구 신당동 213-48,서울특별시 중구 마장로1길 ,,,0,0,0,1391,822.73,17574.73,0,59.14,683.6,철근콘크리트구조,판매시설,(철근)콘크리트,7,13,47.05,0,0,99,0,0,0,0,0,0,3,1,1996-11-08,1994-05-27,1997-01-28,,0,0,,0,,0,37.5687889,127.0124728,"(37.5687889,127.012472799999)"
251,104,집합,서울특별시 중구 신당동 213-51,서울특별시 중구 마장로1가길 ,엠씨프라자,,0,264,0,697,417.22,4723.43,2651.05,59.85,380.35,철근콘크리트구조,판매시설,(철근)콘크리트,4,7,27,0,0,0,1,0,0,0,0,0,3,0,1995-04-26,1995-05-09,1996-09-30,,0,0,,0,,0,37.5688793,127.0132966,"(37.5688792999999,127.0132966)"
252,105,집합,서울특별시 중구 신당동 213-67,서울특별시 중구 마장로1길 ,,,295,0,0,0,0,8432.75,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1988-10-05,,1990-05-12,,0,0,,0,,0,37.5691787,127.0129081,"(37.5691787,127.0129081)"
253,106,집합,서울특별시 중구 신당동 213-8,서울특별시 중구 마장로1길 ,,올레오,569,0,0,1580,867.62,17173.11,9141.97,54.91,578.61,철근콘크리트구조,판매시설,(철근)콘크리트,8,14,52.8,0,0,96,0,0,57,0,0,0,3,2,1993-05-18,1993-05-31,1996-01-13,,0,0,,0,,0,37.5689756,127.0125625,"(37.5689756,127.0125625)"
254,107,집합,서울특별시 중구 신당동 217-91,서울특별시 중구 청계천로 ,청평화시장,,1099,0,0,2142,2129.5,12917,10913.5,99.42,509.5,철근콘크리트구조,판매시설,(철근)콘크리트,1,6,24.15,0,0,0,0,0,0,0,0,0,0,0,,,1983-04-07,,0,0,,0,,0,37.5694828,127.0149512,"(37.5694828,127.0149512)"
255,108,집합,서울특별시 중구 신당동 217-95,서울특별시 중구 청계천로 ,,,95,0,0,0,0,4276.8,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,8,0,0,0,0,0,0,0,0,0,0,0,0,,,1968-12-30,,0,0,,0,,0,37.5693647,127.0137709,"(37.5693647,127.0137709)"
256,109,일반,서울특별시 중구 신당동 282-103,서울특별시 중구 다산로36길 25,,,0,0,1,446,263.42,1399.18,0,59.06,248.97,철근콘크리트구조,판매시설,(철근)콘크리트,1,5,15.6,0,0,0,0,0,10,0,0,0,1,0,,,1996-07-09,,0,0,,0,,0,37.5623787,127.0167302,"(37.5623787,127.0167302)"
257,110,집합,서울특별시 중구 신당동 772,서울특별시 중구 장충단로 282-10,남평화시장,,603,0,0,2313.6,1612.73,7638.52,5625.54,69.7,243.15,철근콘크리트구조,판매시설,(철근)콘크리트,2,4,15.2,0,0,34,4,0,0,0,0,0,0,0,,,1980-04-04,,0,0,,0,,0,37.5691897,127.0108985,"(37.5691897,127.0108985)"
258,111,집합,서울특별시 중구 신당동 773,서울특별시 중구 마장로 ,맥스타일,,0,2754,0,4072.9,2431.14,49938.92,24987.2,59.69,613.5,철골철근콘크리트구조,판매시설,(철근)콘크리트,7,18,86.95,0,0,211,0,0,0,0,0,0,0,0,2005-12-20,2007-08-29,2010-09-30,,0,0,,0,,0,37.5688269,127.010549,"(37.5688269,127.010549)"
259,112,집합,서울특별시 중구 신당동 775,서울특별시 중구 마장로 ,제1평화시장,,525,0,0,0,0,7524.63,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,39,0,0,0,0,0,0,0,,,1980-05-13,,0,0,,0,,0,37.5684668,127.011413,"(37.5684668,127.011413)"
260,113,집합,서울특별시 중구 신당동 776,서울특별시 중구 마장로 ,서울운동장 평화시장,,297,0,0,1621.62,1054.21,4378.74,3338.34,65,205.86,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,13.7,0,0,0,0,0,0,22,0,0,0,0,,,1980-05-13,,0,0,,0,,0,37.5681513,127.0120037,"(37.5681513,127.0120037)"
261,114,집합,서울특별시 중구 신당동 777,서울특별시 중구 마장로1길 ,광희시장,,0,614,0,2938.7,2049.55,13803.73,11349.94,69.74,386.22,일반철골구조,판매시설,기타지붕,1,7,24.9,0,0,6,0,0,23,0,0,0,3,0,,,1980-05-13,,0,0,,0,,0,37.5686547,127.0119141,"(37.5686547,127.011914099999)"
262,115,일반,서울특별시 중구 예관동 126,서울특별시 중구 창경궁로1길 8,,,0,0,0,0,0,243.01,0,0,0,벽돌구조,판매시설,기와,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1939-11-16,,0,0,,0,,0,37.5631792,126.9974984,"(37.5631792,126.9974984)"
263,116,일반,서울특별시 중구 예관동 17-3,서울특별시 중구  ,,,0,0,0,0,0,165.29,0,0,0,일반목구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1937-04-24,,0,0,,0,,0,37.5657008,126.9980114,"(37.5657008,126.9980114)"
264,117,일반,서울특별시 중구 예관동 17-3,서울특별시 중구  ,,,0,0,0,0,0,656.13,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1964-09-11,,0,0,,0,,0,37.5657008,126.9980114,"(37.5657008,126.9980114)"
265,118,일반,서울특별시 중구 예관동 19-5,서울특별시 중구 창경궁로 ,,,0,0,0,0,0,924.96,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1936-11-01,,0,0,,0,,0,37.5654965,126.9979875,"(37.5654965,126.9979875)"
266,119,집합,서울특별시 중구 예관동 22-1,서울특별시 중구 창경궁로 33-1,,,3,0,0,0,0,165.29,0,0,0,일반목구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1938-10-01,,0,0,,0,,0,37.5653528,126.9980343,"(37.5653528,126.9980343)"
267,120,일반,서울특별시 중구 예관동 43-1,서울특별시 중구 창경궁로 27-1,,,0,0,0,0,0,26.44,0,0,0,일반목구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1948-12-20,,0,0,,0,,0,37.5648638,126.9980789,"(37.5648638,126.9980789)"
268,121,일반,서울특별시 중구 예관동 70-15,서울특별시 중구  ,,,0,0,0,0,0,132.24,0,0,0,벽돌구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1955-09-30,,0,0,,0,,0,37.5632353,126.9988542,"(37.5632353,126.9988542)"
269,122,일반,서울특별시 중구 예장동 8-176,서울특별시 중구  ,,,0,0,0,0,0,21.45,0,0,0,벽돌구조,판매시설,(철근)콘크리트,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1962-08-15,,0,0,,0,,0,37.5576369,126.9869539,"(37.5576369,126.9869539)"
270,123,집합,서울특별시 중구 오장동 127-1,서울특별시 중구 동호로33길 ,센트마상가,,512,0,0,3804.7,2280.54,19999.2,10594.92,59.94,278.47,철골철근콘크리트구조,판매시설,(철근)콘크리트,3,5,22.5,0,0,80,0,0,0,0,0,0,1,1,2001-12-18,2002-03-07,2003-11-28,,0,0,,0,,0,37.565663,127.000949,"(37.565663,127.000949)"
271,124,일반,서울특별시 중구 오장동 145-9,서울특별시 중구 을지로32길 ,,,0,0,1,2190.1,1691.47,5533.36,4027.21,77.23,183.88,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1974-11-29,,0,0,,0,,0,37.5652251,127.0008628,"(37.5652251,127.0008628)"
272,125,집합,서울특별시 중구 을지로1가 50-1,서울특별시 중구 을지로 ,시청광장 지하도상가,,0,12,0,0,0,1944.48,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2014-11-13,,0,0,,0,,0,37.5659748,126.9793666,"(37.5659748,126.9793666)"
273,126,집합,서울특별시 중구 을지로2가 149-10,서울특별시 중구 을지로 ,을지로2구역 지하도상가,,0,5,0,0,0,2009.01,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2015-04-15,,0,0,,0,,0,37.5661291,126.9880065,"(37.5661291,126.9880065)"
274,127,일반,서울특별시 중구 을지로2가 164-6,서울특별시 중구  ,,,0,0,0,0,0,356.64,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,,1967-12-29,,0,0,,0,,0,37.5654756,126.9867586,"(37.5654756,126.9867586)"
275,128,일반,서울특별시 중구 을지로2가 199-21,서울특별시 중구 을지로 ,,,0,0,0,0,0,466.16,0,0,0,일반목구조,판매시설,기와,0,3,0,1,61.5,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5658594,126.9836406,"(37.5658594,126.9836406)"
276,129,일반,서울특별시 중구 을지로2가 199-21,서울특별시 중구 을지로 ,,,0,0,0,0,0,466.16,0,0,0,일반목구조,판매시설,기와,0,3,0,1,52.9,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5658594,126.9836406,"(37.5658594,126.9836406)"
277,130,집합,서울특별시 중구 을지로2가 9-7,서울특별시 중구 을지로 ,을지입구 지하도상가,,0,7,0,0,0,957.29,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2015-01-05,,0,0,,0,,0,37.5660553,126.9836492,"(37.5660553,126.9836492)"
278,131,일반,서울특별시 중구 을지로3가 139-1,서울특별시 중구  ,,,0,0,0,0,0,33.06,0,0,0,일반목구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1949-08-09,,0,0,,0,,0,37.5665005,126.9929959,"(37.5665005,126.9929959)"
279,132,집합,서울특별시 중구 을지로3가 282-8,서울특별시 중구 을지로 ,을지로 3구역 지하도상가,,0,6,0,0,0,2553.23,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2015-04-15,,0,0,,0,,0,37.5664112,126.9936304,"(37.5664112,126.9936304)"
280,133,집합,서울특별시 중구 을지로3가 302-2,서울특별시 중구  ,,,2,0,0,0,0,895.7,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1969-11-04,,0,0,,0,,0,37.5654116,126.9919989,"(37.5654116,126.9919989)"
281,134,집합,서울특별시 중구 을지로3가 302-2,서울특별시 중구  ,.,,2,0,0,0,0,1155.85,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,1968-06-13,,0,0,,0,,0,37.5654116,126.9919989,"(37.5654116,126.9919989)"
282,135,집합,서울특별시 중구 을지로5가 35-6,서울특별시 중구 을지로 ,을지로4구역 지하도상가,,0,12,0,0,0,3195.83,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2015-04-15,,0,0,,0,,0,37.5668068,127.0021761,"(37.5668068,127.0021761)"
283,136,집합,서울특별시 중구 을지로6가 17-11,서울특별시 중구 청계천로 260-6,,,0,0,0,0,0,426.57,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5692001,127.0061575,"(37.5692001,127.0061575)"
284,137,집합,서울특별시 중구 을지로6가 17-14,서울특별시 중구 청계천로 260-6,,,23,0,0,0,0,2030.42,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1968-06-30,,0,0,,0,,0,37.5690876,127.0060244,"(37.5690876,127.0060244)"
285,138,집합,서울특별시 중구 을지로6가 17-15,서울특별시 중구 청계천로 260-14,,,40,0,0,0,0,2290.41,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,1967-08-25,,0,0,,0,,0,37.5689737,127.0065184,"(37.5689737,127.0065184)"
286,139,집합,서울특별시 중구 을지로6가 17-18,서울특별시 중구 청계천로 260-14,,,22,0,0,0,0,1381.22,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,1967-08-25,,0,0,,0,,0,37.5688578,127.0063231,"(37.5688578,127.0063231)"
287,140,일반,서울특별시 중구 을지로6가 17-2,서울특별시 중구 장충단로13길 ,현대시티타워,,0,0,0,11410.24,3758.81,122917.19,68238.45,32.94,598.05,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,23,99.6,0,0,680,26,0,0,0,0,0,16,3,1995-10-31,1993-05-11,1996-08-20,,0,0,,0,,0,37.5686422,127.0077487,"(37.5686422,127.0077487)"
288,141,집합,서울특별시 중구 을지로6가 18-11,서울특별시 중구 장충단로 ,청계6가 지하도상가,,0,6,0,0,0,591.85,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2014-12-01,,0,0,,0,,0,37.5677806,127.0087663,"(37.5677806,127.0087663)"
289,142,집합,서울특별시 중구 을지로6가 18-185,서울특별시 중구 장충단로 ,밀리오레,,2524,0,0,3414.3,2046.71,49566.03,29197.85,59.95,855.16,철골콘크리트구조,판매시설,(철근)콘크리트,7,20,90.6,0,0,235,0,0,151,0,0,0,6,1,1995-11-16,1996-03-14,1998-07-29,,0,0,,0,,0,37.5683244,127.0083221,"(37.5683244,127.0083221)"
290,143,집합,서울특별시 중구 을지로6가 18-187,서울특별시 중구 장충단로13길 ,.,,15,0,0,0,0,335.73,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1972-10-30,,0,0,,0,,0,37.568008,127.0070348,"(37.568008,127.0070348)"
291,144,집합,서울특별시 중구 을지로6가 18-21,서울특별시 중구 장충단로 ,굿모닝시티 쇼핑몰,굿모닝시티 쇼핑몰,4586,0,0,7792.5,4671.76,92206.03,49446.65,59.95,634.54,철골철근콘크리트구조,판매시설,(철근)콘크리트,7,16,76.8,0,0,379,0,0,0,0,0,0,7,3,2005-01-27,2005-06-25,2008-08-28,,0,0,,0,,0,37.5668781,127.0072907,"(37.5668781,127.0072907)"
292,145,집합,서울특별시 중구 을지로6가 18-35,서울특별시 중구 장충단로 ,헬로우 에이피엠,헬로우 에이피엠,1684,0,0,2703,1620.83,23658.32,16176.33,59.96,598.46,철골철근콘크리트구조,판매시설,(철근)콘크리트,4,11,63.15,0,0,96,0,0,0,0,0,0,2,1,2001-05-31,2001-07-11,2002-09-05,,0,0,,0,,0,37.5674994,127.0081469,"(37.5674994,127.0081469)"
293,146,집합,서울특별시 중구 을지로6가 21-31,서울특별시 중구 을지로 ,동대문패션TV,동대문패션TV,2280,0,0,3650,2184.1,39326.32,21861.7,59.83,598.95,철골철근콘크리트구조,판매시설,(철근)콘크리트,6,13,67.65,0,0,165,0,0,0,0,0,0,4,4,2004-09-21,2004-12-21,2007-04-06,,0,0,,0,,0,37.5657673,127.0070013,"(37.5657673,127.0070013)"
294,147,일반,서울특별시 중구 을지로6가 30-5,서울특별시 중구 을지로 ,,,0,0,0,282.9,243.8,487.6,487.6,86.18,172.36,일반목구조,판매시설,기와,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1953-10-15,,0,0,,0,,0,37.5661434,127.0057764,"(37.5661434,127.0057764)"
295,148,집합,서울특별시 중구 을지로7가 105,서울특별시 중구 을지로 ,에이피엠 플레이스 패션몰,,1613,0,0,3511.2,2097.63,29989.66,19848.47,59.74,565.29,철골철근콘크리트구조,판매시설,(철근)콘크리트,5,12,55.22,0,0,137,0,0,0,0,0,0,4,1,2004-05-11,2004-10-05,2006-02-03,,0,0,,0,,0,37.5652849,127.0083987,"(37.5652849,127.0083987)"
296,149,집합,서울특별시 중구 인현동2가 120-22,서울특별시 중구 마른내로 ,인현 지하도상가,,0,5,0,0,0,1066.41,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2015-01-05,,0,0,,0,,0,37.5643206,126.9957533,"(37.5643206,126.9957533)"
297,150,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,3층,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-16,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
298,151,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,1층제2호,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-16,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
299,152,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,1층제3호,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-16,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
300,153,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,4호,0,0,0,0,0,1069.45,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
301,154,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,2층,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-16,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
302,155,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
303,156,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  0,,,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
304,157,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,5층,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-16,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
305,158,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,4층,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-16,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
306,159,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,1층제1호,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-16,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
307,160,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  ,,,0,0,0,0,0,1069.46,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
308,161,일반,서울특별시 중구 주교동 1-2,서울특별시 중구  0,,,0,0,0,0,0,1150.58,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5692834,127.001373,"(37.5692834,127.001373)"
309,162,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
310,163,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
311,164,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 212,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
312,165,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
313,166,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
314,167,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
315,168,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
316,169,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
317,170,일반,서울특별시 중구 주교동 12-2,서울특별시 중구 청계천로 ,,,0,0,0,0,0,2505.62,0,0,0,철근콘크리트구조,판매시설,슬레이트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1961-12-15,,0,0,,0,,0,37.5691933,127.0011136,"(37.5691933,127.0011136)"
