,NO,일반/집합 구분,대지위치,도로명주소,건물명칭,동명칭,세대,호,가구,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률산정용면적(㎡),건폐율(%),용적률(%),주구조,용도,지붕구조,지하층수(층),지상층수(층),높이(ｍ),부속건축물(동),부속건축물(㎡),주차장_자주식_옥내(대),주차장_자주식_옥외(대),주차장_자주식_인근(대),주차장_기계식_옥내(대),주차장_기계식_옥외(대),주차장_기계식_인근(대),주차장면제(대),승용승강기(대),비상용승강기(대),허가일자,착공일자,사용승인일자,에너지효율등급,에너지절감률(%),에너지성능지표(EPI)점수,친환경인증등급,친환경인증점수,지능형인증등급,지능형인증점수,위도,경도,위경도
976,93,일반,서울특별시 용산구 한강로2가 15-2,서울특별시 용산구 청파로 ,"주1:17동, 주2:18동",,0,0,0,7737.8,4544.285,14714.68,13126.83,58.73,169.65,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,1,82.69,0,97,0,0,0,0,0,0,0,,,1969-12-08,,0,0,,0,,0,37.5338904,126.9654128,"(37.5338904,126.9654128)"
977,94,집합,서울특별시 용산구 한강로2가 15-37,서울특별시 용산구 청파로 113-12,전자타운상가,비동,48,282,0,3551.4,1584.4,18114.52,10013.28,44.61,281.95,철근콘크리트구조,판매시설,(철근)콘크리트,3,8,27.35,0,0,65,21,0,0,0,0,0,3,0,1988-09-12,1990-04-26,1993-03-08,,0,0,,0,,0,37.5339973,126.9639371,"(37.5339973,126.9639371)"
978,95,집합,서울특별시 용산구 한강로2가 2-37,서울특별시 용산구 새창로 ,용산 토투벨리,,0,568,0,1477.8,817.92,17619.33,11275.51,55.35,762.99,철근콘크리트구조,판매시설,(철근)콘크리트,6,15,54.1,0,0,123,0,0,0,0,0,0,2,1,2003-09-02,2004-03-11,2006-12-13,,0,0,,0,,0,37.5302228,126.9677904,"(37.5302228,126.9677904)"
979,96,일반,서울특별시 용산구 한강로3가 1-3,서울특별시 용산구 청파로 ,,10동,0,0,0,3085.9,808.37,3216.16,2416.85,26.2,78.32,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,15.55,0,0,14,0,0,0,0,0,0,1,0,,,1972-03-31,,0,0,,0,,0,37.533343,126.9623208,"(37.533343,126.9623208)"
980,97,일반,서울특별시 용산구 한강로3가 1-3,서울특별시 용산구 청파로 ,,11동,0,0,0,3085.9,1040.51,2890.62,1040.51,33.72,33.72,철근콘크리트구조,판매시설,(철근)콘크리트,1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,,,1978-03-27,,0,0,,0,,0,37.533343,126.9623208,"(37.533343,126.9623208)"
981,98,집합,서울특별시 용산구 한강로3가 16-20,서울특별시 용산구 청파로 ,,판매시설(상가동),0,415,0,0,3158,16441.74,9144.6,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1988-07-08,,0,0,,0,,0,37.5333573,126.9608358,"(37.5333573,126.9608358)"
982,99,일반,서울특별시 용산구 한강로3가 16-9,서울특별시 용산구 청파로 ,,용산 전자랜드,0,0,0,17398.4,10270.17,77613.02,63937.38,59.03,367.49,일반철골구조,판매시설,(철근)콘크리트,3,8,50.85,0,0,142,487,0,100,0,0,0,3,2,,,1970-03-21,,0,0,,0,,0,37.5328143,126.9597291,"(37.5328143,126.9597291)"
983,100,일반,서울특별시 용산구 한강로3가 2-8,서울특별시 용산구 청파로 ,,12동,0,0,0,5807.91,2695.66,4118.64,4118.64,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,4,14.9,0,0,0,0,0,0,0,0,0,1,0,,,1981-11-13,,0,0,,0,,0,37.5328095,126.9623836,"(37.5328095,126.9623836)"
984,101,일반,서울특별시 용산구 한강로3가 2-8,서울특별시 용산구 청파로 ,,13동,0,0,0,5807.91,1666,5274.01,3487,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,14.9,0,0,0,178,0,0,0,0,0,0,0,,,1981-11-13,,0,0,,0,,0,37.5328095,126.9623836,"(37.5328095,126.9623836)"
985,102,일반,서울특별시 용산구 한강로3가 2-8,서울특별시 용산구 청파로 ,,13-1동,0,0,0,5807.91,648.59,648.59,648.59,11.17,11.17,경량철골구조,판매시설,(철근)콘크리트,0,1,2.8,0,0,178,0,0,0,0,0,0,0,0,,,2003-03-31,,0,0,,0,,0,37.5328095,126.9623836,"(37.5328095,126.9623836)"
